java.lang.NumberFormatException: For input string: ""
# ***** RESTART **********
Try init with scale 1.0
epsilon: 1.0E-8  alpha: 0.01
Iteration	stepsize	objective	accuracy
1	0.5536866096026655	-855.7334787369988	0.5309810671256454
1	0.07948922076814094	-751.6752572331566	0.5638009049773756
1	0.0986371662097576	-763.0786900509688	0.5721877767936226
1	0.6703830529533886	-746.8036227539096	0.5634057971014492
1	0.20633773731750096	-783.6081665694384	0.5390625
1	0.0837620815416051	-759.5866897999709	0.5905096660808435
1	0.3016150195542427	-754.8567766465297	0.563588850174216
1	0.11906877012785042	-752.3308736522384	0.6203301476976543
1	0.1658287619291962	-753.4583207086397	0.6085440278988666
1	0.09008347777417061	-741.8997848993454	0.6459246275197196
1	0.1495773603708545	-722.1031858273931	0.6424731182795699
1	0.08737175324899198	-724.3597039766589	0.6754155730533683
1	0.7437686718261151	-696.233836883708	0.6323529411764706
1	0.06531900505078102	-701.7844479221983	0.49476439790575916
1	0.2900514807070103	-680.414355220171	0.4698046181172291
1	0.04652914187574628	-667.0727919415642	0.7158273381294964
1	0.024729173978783252	-663.4281229234422	0.7196836555360281
1	0.0769805270505459	-658.7548159266565	0.7132743362831858
1	0.056758465847658375	-634.6046194216593	0.7392497712717292
1	0.04324468474287196	-663.0370311637063	0.7197563098346388
1	0.04324468474287196	-14474.824572258356	0.6157043063047131
2	0.03945540971124299	-666.9952071619842	0.7547332185886403
2	0.0825954354618302	-638.1690562162983	0.7285067873303167
2	0.03544373548705139	-635.1522454461023	0.7546501328609388
2	0.04363410584031734	-615.003336828611	0.7644927536231884
2	0.026458635902803864	-669.0565308844812	0.7022569444444444
2	0.12247285738636102	-644.7115706711445	0.7425307557117751
2	0.026913867399492593	-633.9327145850118	0.730836236933798
2	0.011661107227225794	-634.7024991752135	0.7732406602953953
2	0.02945293448027206	-649.2069785202418	0.7567567567567568
2	0.037915480065402844	-644.2947793365861	0.7554776511831727
2	0.17771498494637175	-624.7345937404217	0.7553763440860215
2	0.04094042970635229	-623.7926165446203	0.7777777777777778
2	0.018299196157260125	-601.9624395539475	0.7601102941176471
2	0.06284323838012361	-640.9315704407153	0.7425828970331588
2	0.1499172278373194	-616.2842438619406	0.7566607460035524
2	0.020893307386412954	-620.2977144596993	0.7212230215827338
2	0.05013792093374396	-616.82753006487	0.7504393673110721
2	0.02707373542106106	-611.023819434143	0.736283185840708
2	0.06736941026715634	-592.5261108259754	0.7593778591033852
2	0.023383641249730778	-620.4623134652078	0.763272410791993
2	0.8186613321443531	-12600.067871217216	0.749314705102131
3	0.01349382883224141	-624.2209594435186	0.7685025817555938
3	0.053018438297827285	-598.8642118094841	0.7484162895927602
3	0.024955764102764746	-595.5043532348209	0.7767936226749336
3	0.020684292526108206	-574.4177966627028	0.7980072463768116
3	0.025672488091149914	-634.3555472721908	0.7361111111111112
3	0.022385983112747747	-608.0051424275864	0.7688927943760984
3	0.02425745662734082	-601.8945085759599	0.7613240418118467
3	0.03097243421383717	-601.5172619918093	0.7932232841007819
3	0.020898774713660483	-620.3136747618546	0.7585004359197908
3	0.005604454535172204	-613.827187259824	0.7572304995617879
3	0.059765685295351964	-594.8357210390934	0.7795698924731183
3	0.018936903361485718	-591.4428004320658	0.7804024496937882
3	0.015777012717145406	-576.7562024702497	0.7683823529411765
3	0.042207236570413094	-616.8166394011605	0.756544502617801
3	0.018575231896621282	-595.4409544300826	0.7477797513321492
3	0.015831483469161793	-602.7301572912563	0.7491007194244604
3	0.02106362286774352	-598.1512058089432	0.7706502636203867
3	0.3447701970323266	-592.6230116151928	0.7584070796460177
3	0.026180281424555023	-570.019558136672	0.7767612076852699
3	0.01739241640306214	-596.9662772722306	0.7597911227154047
3	1.3829441276044614	-12008.7031713367	0.7656733575028738
4	0.05696262953673418	-601.7640949734656	0.7641996557659209
4	0.021955310812303296	-576.479112905351	0.7502262443438914
4	0.008051548532527451	-572.1094344257683	0.7821080602302923
4	0.039569073129419534	-552.9198318128022	0.802536231884058
4	0.068853152169145	-613.7903041578926	0.7491319444444444
4	0.019342505736453915	-585.5329816869149	0.7706502636203867
4	0.07084438356293138	-581.0206380272074	0.7621951219512195
4	0.020492691215888672	-577.6107493520404	0.7984361424847958
4	0.033426964584115294	-597.3539562115054	0.7646033129904097
4	0.1377394391517098	-591.034978948575	0.7721297107800176
4	0.016465751997462676	-569.8158293469326	0.7759856630824373
4	0.026161249420560556	-568.4909875300891	0.7839020122484689
4	0.03412376814529678	-554.6541109642573	0.7766544117647058
4	0.033937671903720316	-594.6402917412557	0.7574171029668412
4	0.0565343819278702	-571.9328376371597	0.7566607460035524
4	0.05348956934447818	-580.9104192556748	0.7661870503597122
4	0.40606239621020856	-572.9687622922531	0.7653778558875219
4	0.05727823359457287	-566.3021963957195	0.7752212389380531
4	0.2703623353849637	-550.0554702420724	0.7621225983531564
4	0.047658169372291476	-576.6914341590413	0.7711053089643168
4	1.9613725446793413	-11556.07842206598	0.7703156777787603
5	0.02232891221063746	-580.1970921919569	0.7728055077452668
5	0.18252767830957609	-556.9287589165157	0.7701357466063349
5	0.034888170985424634	-552.9224271376556	0.7821080602302923
5	0.025998354848641488	-531.1970989681149	0.8034420289855072
5	0.04577161835702847	-596.6913956939842	0.7543402777777778
5	0.08579372800559285	-567.2677963776056	0.7653778558875219
5	0.10554469276793207	-561.1305701651135	0.7796167247386759
5	0.05601001206947495	-558.8039868843607	0.789748045178106
5	0.03290867488885893	-575.2649325479647	0.7785527462946817
5	0.04570039693456099	-574.2507979869339	0.768624014022787
5	0.06342252677705718	-553.8100064344171	0.7813620071684588
5	0.024605630282018384	-550.6252113073042	0.7865266841644795
5	0.07839984950860086	-537.3482841860812	0.78125
5	0.033141501498676694	-576.1817784738761	0.7574171029668412
5	0.028097586258518586	-546.3201864847831	0.7744227353463587
5	0.06089873131211209	-565.2615104080402	0.7697841726618705
5	0.03852069286209345	-553.1366281034273	0.7750439367311072
5	0.3393673681277569	-547.6347848788483	0.7849557522123893
5	0.04785952685138496	-527.8346275280104	0.7849954254345837
5	0.07609508404879894	-554.1000961239744	0.7789382071366405
5	2.45789870862023	-11166.90797079897	0.7769033513131135
6	0.02857965662683515	-563.7807369093779	0.7917383820998278
6	0.13853801532442425	-538.9848165100817	0.7628959276018099
6	0.04534174529731776	-546.5087670479386	0.7661647475642162
6	0.10605972946238912	-509.7066582011798	0.7998188405797102
