java.lang.NumberFormatException: For input string: ""
# ***** RESTART **********
Try init with scale 1.0
epsilon: 1.0E-8  alpha: 0.1
Iteration	stepsize	objective	accuracy
1	0.8306622921784855	-787.922305574901	0.5187165775401069
1	0.5013962064185283	-800.2873592720566	0.45969884853852966
1	0.34643010865591317	-780.0330784943073	0.5377107364685004
1	0.23960401143533322	-767.0501427683791	0.5305755395683454
1	0.3382951170898988	-819.2030786286142	0.5296108291032149
1	0.18340026019103203	-783.9026634963506	0.551270815074496
1	0.17723037929916902	-767.1496485529055	0.5541629364368845
1	0.24297861240832017	-764.2259352035998	0.5361284567350579
1	0.3084638855192521	-746.3053788178871	0.5230627306273062
1	0.1683298377864033	-728.1695480893061	0.568609022556391
1	0.2654478708416381	-748.4650018930308	0.5932666060054596
1	0.3051219016124989	-759.3336091098154	0.5349462365591398
1	0.22683817262949224	-774.4139385357153	0.5746724890829694
1	0.28611477282395203	-767.448393498155	0.5612959719789843
1	0.3589963410195655	-741.3243217438671	0.5110091743119266
1	0.25969590259171677	-793.0252081843498	0.5994919559695173
1	0.17105444482483337	-759.1626731192729	0.5657894736842105
1	0.2452284985341126	-805.3624975859112	0.5767634854771784
1	0.195227111750677	-752.0138857966839	0.6139130434782609
1	0.30754112325214045	-749.7572478757736	0.6446568201563857
1	0.30754112325214045	-15394.555916240883	0.5546467415332921
2	0.3419915823589657	-765.6195349411046	0.47237076648841353
2	0.17685102274894685	-746.0298411331789	0.6147032772364924
2	0.2192422031844321	-729.2895110827833	0.6628216503992902
2	0.13507737726856262	-708.1842896689571	0.6097122302158273
2	0.21843129815744372	-754.1961088313038	0.6082910321489001
2	0.18276522340470178	-727.9154820283073	0.6879929886064855
2	0.13110717467469435	-696.4936780293339	0.6472694717994628
2	0.1716406156625092	-689.9235726857914	0.6966993755575379
2	0.19231339025601146	-672.5953962894433	0.6577490774907749
2	0.20784976735340407	-663.9844047234469	0.681390977443609
2	0.17661504809025497	-661.2555759273029	0.6869881710646042
2	0.19779691729905077	-665.9738558681839	0.7060931899641577
2	0.18777486287637046	-681.6811936597205	0.6847161572052402
2	0.2670686088835206	-695.7404174298855	0.702276707530648
2	0.27674702277157814	-664.4247077305399	0.5660550458715596
2	0.17285170276598627	-709.4718487152708	0.7061812023708721
2	0.1250429132348697	-651.9075636634869	0.7359649122807017
2	0.12383139909757482	-704.3160420182351	0.6962655601659751
2	0.18633279657718224	-655.8780032090003	0.7591304347826087
2	0.15815409670703118	-652.1283548902297	0.7046046915725456
2	2.058222398088923	-13897.00938252551	0.6648244760809975
3	0.158612411202733	-648.2582776914948	0.7308377896613191
3	0.1291888253829961	-633.7541892621563	0.7254207263064659
3	0.14150881928827405	-619.0503488968764	0.7400177462289264
3	0.19901317878251645	-627.6647375949539	0.7437050359712231
3	0.2304449522573688	-690.6486426784503	0.6514382402707276
3	0.14778381460594128	-665.8524273908922	0.7151621384750219
3	0.15856062830468257	-598.1807160132889	0.7681289167412713
3	0.2386473384669368	-639.4534470057844	0.6654772524531668
3	0.09756425533003224	-618.3802534273098	0.731549815498155
3	0.12744473380115126	-582.4130517469073	0.7462406015037594
3	0.09078269001797017	-585.3360265269531	0.7579617834394905
3	0.0716198680459401	-585.345424490083	0.7491039426523297
3	0.09398188437393633	-602.7290016071165	0.7458515283842795
3	0.08620605548635162	-615.1556687097178	0.7162872154115587
3	0.10425636448595424	-577.4413489708832	0.7642201834862385
3	0.07668750477147121	-604.3524160028898	0.7620660457239627
3	0.09275187667844141	-578.5381178677637	0.7719298245614035
3	0.11805756968833223	-634.7443863732374	0.7526970954356846
3	0.09628718807004066	-585.4370521835773	0.7669565217391304
3	0.17102095278212365	-589.8487134901814	0.7819287576020851
3	3.246583551289046	-12282.584247930517	0.739234238217349
4	0.32503197822835	-659.217573471385	0.6622103386809269
4	0.16065707489404069	-675.8120219474091	0.6563330380868024
4	0.20935763483496683	-589.9939347238347	0.7755102040816326
4	0.17377362201310276	-631.7005329554271	0.637589928057554
4	0.05683948138028764	-619.0880146452097	0.7631133671742809
4	0.10588553702063049	-574.432025988965	0.7808939526730938
4	0.1280596713633582	-564.3972143840867	0.7636526410026858
4	0.09020123113250272	-563.3240440081967	0.7894736842105263
4	0.061252006609652944	-556.0505712346957	0.7490774907749077
4	0.0568517466943231	-543.32485902417	0.7415413533834586
4	0.09182235591057233	-543.5577738596584	0.7752502274795269
4	0.09836901950654942	-557.2321893247923	0.7544802867383512
4	0.11779799313959105	-585.2799962651525	0.7720524017467248
4	0.06976738084883354	-588.4465248894059	0.7302977232924693
4	0.07474059833502694	-546.1216162416112	0.7779816513761468
4	0.05070490848530111	-571.7648808510608	0.777307366638442
4	0.07033683306393715	-548.0975730381086	0.7780701754385965
4	0.12574143066562316	-611.9279737272057	0.7701244813278009
4	0.16164215214052707	-578.6251911207866	0.7478260869565218
4	0.17317707127399248	-612.6880459251271	0.736750651607298
4	4.011377471730794	-11721.08255762629	0.7471925015474401
5	0.09368920822284478	-587.4293614819394	0.7299465240641712
5	0.09642797177684057	-573.4844090368185	0.7617360496014172
5	0.06677615910159833	-547.4715061045634	0.7613132209405501
5	0.10867671656950505	-558.4402050010559	0.7670863309352518
5	0.13288916829312333	-593.4511834176596	0.7326565143824028
5	0.13703547302629568	-582.1675302604463	0.7624890446976337
5	0.09312222355684652	-528.8940533520871	0.7815577439570277
5	0.13949330022285217	-532.9967674091637	0.7832292595896521
5	0.26032220847728144	-540.5938823071141	0.7527675276752768
5	0.20332582647956485	-538.3521269778973	0.768796992481203
5	0.2357369812718424	-525.7698913504389	0.7679708826205641
5	0.2462987218455887	-535.4245567270415	0.7813620071684588
5	0.17060692099386252	-567.5669213643147	0.7467248908296943
5	0.25536814127652796	-614.5927636493608	0.7197898423817863
5	0.08918889640925147	-526.8684570222804	0.7697247706422018
5	0.07829274700555934	-556.692210253112	0.7798475867908552
5	0.10734264080505769	-539.82386910876	0.8
5	0.14104626574684767	-596.7970832037719	0.7460580912863071
5	0.19487440533106068	-589.6629449663509	0.7539130434782608
5	0.178653664792617	-565.2849130408582	0.7480451781059948
5	4.62511798229774	-11201.764636035034	0.7605889114864267
6	0.14230165138398787	-593.0807722852591	0.7361853832442068
6	0.12573398026968324	-545.6220159927628	0.7581930912311781
6	0.3102627724017318	-544.8070461601955	0.7577639751552795
6	0.36648828422169977	-608.9412926923302	0.7032374100719424
6	0.12371952066297728	-570.2492582045941	0.7495769881556683
6	0.07427992554123286	-527.7477981177218	0.78965819456617
6	0.09135202231222647	-507.96927862164665	0.7985675917636527
6	0.13257866210146482	-518.3645055719098	0.7805530776092774
6	0.1520569897717775	-527.4977902259564	0.7712177121771218
6	0.23444049610715928	-519.2738118335155	0.7443609022556391
6	0.2809937727179509	-550.9548171888384	0.7552320291173794
6	0.28847463446396404	-584.5708287147306	0.724910394265233
6	0.30460639601161965	-654.0580941563579	0.6689956331877729
6	0.2518510633472358	-580.6107036717266	0.7469352014010507
6	0.1877276166768784	-587.4481807054113	0.7036697247706422
6	0.0663231574410775	-598.5174972837561	0.756138865368332
6	0.12499105524999941	-540.1889107314663	0.8008771929824562
6	0.1361955665348791	-606.1211419672179	0.7261410788381742
6	0.08984696903858895	-564.6980822543951	0.78
6	0.0939675698008583	-523.8239291687829	0.7932232841007819
6	5.2322505522288125	-11254.545755548574	0.7523211601379433
7	0.18902020223566138	-567.0152428462488	0.7370766488413547
7	0.13932384950631768	-580.7391516996512	0.7404782993799823
7	0.11369631398225974	-520.2201620855969	0.7755102040816326
7	0.1262086040837929	-527.5407690693934	0.7580935251798561
7	0.13392414606698333	-553.5703249409307	0.7800338409475466
7	0.20206764614635278	-516.1321619291824	0.7852760736196319
7	0.24710919066116852	-496.3361664523657	0.7985675917636527
7	0.2942245374706834	-514.0252744259361	0.7689562890276539
7	0.3718611130500609	-563.8578981700628	0.7398523985239852
7	0.30160185955956614	-570.9361329067735	0.7161654135338346
7	0.23230737534004878	-629.9409371876114	0.6706096451319381
7	0.2830186754370575	-551.1730608350243	0.757168458781362
7	0.2956959530021472	-638.3530977935218	0.6864628820960699
7	0.07167600846222111	-605.038636022856	0.7154115586690017
7	0.1610959502878762	-565.8572474587558	0.7385321100917431
7	0.1522562541013465	-542.8430791362579	0.7764606265876376
7	0.2978910250133098	-536.0796829898703	0.7640350877192983
7	0.1782163759344022	-614.6942556816441	0.7402489626556017
7	0.124729050944864	-517.7028568058886	0.7982608695652174
7	0.21056685749743168	-546.6153901879358	0.7532580364900087
7	5.828986477361008	-11158.671528625508	0.7503315943054205
8	0.37755108647732233	-586.1437608516491	0.7290552584670231
8	0.2108255383186287	-526.3032394566083	0.7679362267493357
8	0.40184560312992695	-564.1109040824205	0.7497781721384206
8	0.15502821407796719	-616.2975200377094	0.6798561151079137
8	0.18338334791473457	-549.315629736319	0.7766497461928934
8	0.302189985490167	-593.5541470258015	0.7239263803680982
8	0.14257815973852703	-572.9214905691479	0.7162041181736795
8	0.24539107703230573	-543.9245517317606	0.7627118644067796
8	0.28639843104139906	-577.6161576653641	0.7011070110701108
8	0.11084638505707997	-523.0946934566924	0.7453007518796992
8	0.16827430668842358	-507.64999976945325	0.7807097361237488
8	0.19072599526285278	-518.1255375640959	0.757168458781362
8	0.1609515901601536	-523.6731524696822	0.7729257641921398
8	0.20557369067588419	-522.334914074698	0.7609457092819615
8	0.26255711877456217	-487.7247243099917	0.7614678899082569
8	0.1506574894103975	-517.9833226258605	0.7764606265876376
8	0.18178511356376412	-494.07497099444214	0.7763157894736842
8	0.21423627190553696	-565.8821014317634	0.750207468879668
8	0.3197625612734459	-499.4439902624296	0.7782608695652173
8	0.21384899805980634	-493.65070070334593	0.7862728062554301
8	6.700954313098165	-10783.825508819235	0.7529843487487842
9	0.20126885805921413	-515.061597560075	0.7406417112299465
9	0.18862998816821966	-527.3258772859828	0.7431355181576617
9	0.38497837435843324	-503.5990393327453	0.7657497781721384
9	0.23855088496923735	-577.1182623199646	0.704136690647482
9	0.25278673820624675	-508.45848149754863	0.766497461928934
9	0.20474734515873622	-474.981799573012	0.7905346187554777
9	0.13948037880922043	-437.7594029933961	0.8003581020590869
9	0.15496565074758198	-458.19057884109867	0.7885816235504014
9	0.16788711746926785	-445.0358718614925	0.7693726937269373
9	0.2559083638093752	-445.5050653782104	0.7556390977443609
9	0.20733093289392765	-463.7843719579963	0.7725204731574158
9	0.33874207770697956	-571.4952063239379	0.7267025089605734
9	0.1615232912294615	-685.0055781798397	0.6262008733624455
9	0.29574099105190516	-590.6549352500667	0.6690017513134852
9	0.11221795767542944	-453.84412760605034	0.8201834862385321
9	0.16472252984219976	-453.6029977071861	0.8374259102455546
9	0.23034704639962883	-430.47770105508414	0.8640350877192983
9	0.17608731969544253	-465.45921814551053	0.8232365145228215
9	0.18960597198691115	-423.71970862580844	0.8530434782608696
9	0.2139165364544613	-422.6038028643056	0.8001737619461338
9	7.425578944397803	-9853.683624359312	0.7711999292598815
10	0.16957204916295598	-450.9966672473817	0.803921568627451
10	0.1941588135677955	-435.23891966758254	0.7697077059344553
10	0.3551459052608511	-460.8812128134524	0.8438331854480923
10	0.3155624289767017	-685.8021836199057	0.6160071942446043
10	0.20021159238478287	-434.0192023492962	0.8824027072758037
10	0.3669837520482582	-622.7648741528942	0.7931638913234005
10	0.14902255586312324	-632.7678052632593	0.6866606982990152
10	0.23081636132594607	-604.1234610790223	0.7234611953612846
10	0.18919385904763525	-408.174455518894	0.8837638376383764
10	0.1957666212068164	-446.61801622512615	0.8214285714285714
10	0.09924460992064751	-474.2613568379594	0.8098271155595996
10	0.17495061024652206	-412.2351902461682	0.8754480286738351
10	0.2041450632942116	-475.80626042009055	0.8349344978165939
10	0.13861869110924632	-468.7012707599987	0.8432574430823118
10	0.163042288124301	-395.5686169990962	0.8614678899082568
10	0.20958806570274158	-445.7806946891156	0.8789161727349704
10	0.23544601368328102	-420.60234706448904	0.8359649122807018
10	0.28352077813724025	-438.39655229456906	0.891286307053942
10	0.15904920491242422	-419.6796951086066	0.8339130434782609
10	0.12616515590135152	-380.8797822983084	0.8844483058210252
10	7.919437160712832	-9513.298564655217	0.8193474224069325
11	0.1831219804732532	-422.659085678641	0.8556149732620321
11	0.1996661909889351	-434.3696645207009	0.8246235606731621
11	0.2640441534859527	-440.1839155413722	0.8722271517302573
11	0.2552072284151133	-521.2561086827751	0.7562949640287769
11	0.18040495003247412	-406.8844206455831	0.8849407783417935
11	0.14482006822752044	-383.50799937549374	0.8764241893076249
11	0.18229075426139152	-436.09485383887977	0.8245299910474485
11	0.16683160113775172	-398.9223426684871	0.8608385370205174
11	0.13646380643828282	-393.3828637038625	0.8597785977859779
11	0.09700792569906676	-348.8261977905412	0.8890977443609023
11	0.1634474456539575	-367.58968902600543	0.8698817106460418
11	0.2013454617119489	-381.60618100628255	0.8664874551971327
11	0.2281180906955363	-453.8815699452499	0.8279475982532751
11	0.2478197262934802	-404.613321321467	0.8712784588441331
11	0.30166899294282107	-370.9844776514895	0.8587155963302753
11	0.5957867042869595	-390.40381397764213	0.8780694326841659
11	0.3313711602715222	-387.6970001768322	0.8543859649122807
11	0.1776725832925067	-369.2394052764874	0.9037344398340249
11	0.2522151491895941	-363.77179948108903	0.8956521739130435
11	0.26211938395446105	-421.473293639009	0.8462206776715899
11	8.64019079475911	-8097.348003947891	0.8590945264833318
12	0.2286348697111572	-541.5204523264538	0.7745098039215687
12	0.280976642155666	-391.07232387325655	0.8600531443755536
12	0.23931359374210692	-433.61860191036186	0.8287488908606921
12	0.2819802712164181	-536.8823029494367	0.7598920863309353
12	0.2944779511475713	-431.2860810070352	0.8434856175972927
12	0.2665387795492637	-458.8674879993143	0.8431200701139352
12	0.18721026930116488	-559.7567974564614	0.7484333034914951
12	0.2198028565027154	-386.64339531959996	0.8590544157002676
12	0.32017671544410375	-597.3998352093604	0.7822878228782287
12	0.09578488937007999	-454.17349219124367	0.7969924812030075
12	0.18419331034121525	-461.658673597053	0.7979981801637852
12	0.09517326126998515	-359.4037596439532	0.8817204301075269
12	0.1010419440394366	-352.2900003086228	0.8786026200873363
12	0.11920504167631889	-368.2653599956419	0.8782837127845884
12	0.08599918786839844	-324.1154787479683	0.8926605504587156
12	0.08263692179745794	-340.0898681291489	0.8950042337002541
12	0.09574275810474846	-311.6706114630196	0.906140350877193
12	0.11501285719645	-346.9131706913415	0.9045643153526971
12	0.08642856193582449	-321.932967826562	0.8956521739130435
12	0.15719296623536447	-328.35752012935006	0.8861859252823632
12	9.121008911081177	-8305.918180775185	0.8464939428773544
13	0.22375698853469805	-391.27771501541184	0.8467023172905526
13	0.29735861242370865	-431.3913352384403	0.8370239149689991
13	0.2626147955988815	-464.0047051150777	0.839396628216504
13	0.22726405565247787	-497.8531969421129	0.7985611510791367
13	0.3286080534917509	-383.0150497221893	0.8705583756345178
13	0.23675878263482933	-449.2962939598535	0.8317265556529361
13	0.2554679273151654	-513.0105510976875	0.7779767233661593
13	0.20447104748672731	-360.5077241442818	0.8697591436217663
13	0.24555390068669486	-433.95956463736695	0.8413284132841329
13	0.15210799806622421	-448.75702887695616	0.8054511278195489
13	0.2361203064780906	-386.3932396756589	0.83803457688808
13	0.22845879596121973	-481.69613526509835	0.8360215053763441
13	0.1278243458746914	-420.30237686125326	0.834061135371179
13	0.2359628235659388	-375.6577036637421	0.8581436077057794
13	0.15365854512274862	-376.9468099496284	0.8596330275229358
13	0.12192111344571975	-355.5177383936675	0.8780694326841659
13	0.1860697526291367	-317.6284208956947	0.9026315789473685
13	0.10983963180521694	-350.10582385953285	0.891286307053942
13	0.0723490875445467	-303.71972537676083	0.9034782608695652
13	0.16971406883122167	-317.1288740527739	0.894874022589053
13	9.478203258984559	-8058.170012743189	0.851313113449465
14	0.15282023588765467	-369.1539437925923	0.8636363636363636
14	0.09979804081486877	-328.3556655605834	0.8839681133746679
14	0.11119545942410952	-317.8856131009205	0.8908606921029282
14	0.13546429532249057	-297.9921368751429	0.8983812949640287
14	0.25991642136294496	-357.0129282492294	0.871404399323181
14	0.2810108382909559	-402.1228935455029	0.8580192813321648
14	0.25061382281639466	-567.7329551699646	0.756490599820949
14	0.2366940488304773	-333.46055650305357	0.8751115075825157
14	0.23033993788854454	-389.609658063829	0.8487084870848709
14	0.20158296014552324	-441.1740590127631	0.8110902255639098
14	0.2670740345719584	-343.0062663042506	0.8580527752502275
14	0.2895231324044045	-475.4987171488393	0.8360215053763441
14	0.2305595106491361	-541.8214694824246	0.7703056768558952
14	0.3348055190891132	-441.6141636413223	0.809106830122592
14	0.23795788036217255	-469.59445323715863	0.8211009174311926
14	0.1922311551561709	-456.0881422628038	0.8230313293818797
14	0.14810740071256587	-308.49537353172155	0.9026315789473685
14	0.1830381309020862	-373.38734364227355	0.8771784232365145
14	0.15549603044091995	-402.47730499733484	0.8460869565217392
14	0.13810792424478763	-312.63036412174887	0.8922675933970461
14	9.889983201917154	-7929.1140082434595	0.8498983110796711
15	0.14970909205470004	-372.4225545637334	0.8591800356506238
15	0.14676497996933466	-376.7296977731487	0.8618246235606731
15	0.2163299817581397	-341.1448930766557	0.8660159716060337
15	0.18553131467911654	-340.58565727843654	0.8741007194244604
15	0.12595898697054203	-330.099845307705	0.8900169204737732
15	0.11761435417463313	-306.56969186716833	0.8921998247151621
15	0.1317519849004907	-327.30968831961343	0.8683974932855864
